procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20104992 206584 7903432    0    0     0   224 1395 2429  1  1 98  0  0
 0  0      0 20138268 206624 7893700    0    0     0   111 1244 1818  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 20143168 206696 7893960    0    0     0    89 1179 1639  1  1 98  0  0
 0  0      0 20149920 206760 7893720    0    0     0    84 1181 1718  1  1 98  0  0
 0  0      0 20142848 206824 7893232    0    0     0    82 1172 1703  1  1 99  0  0
 0  0      0 20153412 206856 7893660    0    0     0    63 1163 1715  1  1 98  0  0
 0  0      0 20149456 206920 7893780    0    0     0    92 1188 1657  1  1 99  0  0
 0  0      0 20146100 206984 7893548    0    0     0    85 1128 1601  1  1 99  0  0
 0  0      0 20146920 207040 7893780    0    0     0    76 1152 1722  1  1 99  0  0
 0  0      0 20135316 207096 7893376    0    0     0    80 1175 1689  1  1 99  0  0
 0  0      0 20138232 207160 7893884    0    0     0    81 1118 1603  1  1 99  0  0
 0  0      0 20139964 207200 7894140    0    0     0    62 1178 1644  1  1 99  0  0
 0  0      0 20160220 207264 7894172    0    0     0    75 1173 1655  1  1 98  0  0
 0  0      0 20146556 207328 7893688    0    0     0    81 1218 1719  1  1 98  0  0
 0  0      0 20151532 207400 7893740    0    0     0    95 1188 1675  1  0 99  0  0
 0  0      0 20138240 207448 7894212    0    0     0    75 1156 1547  1  1 99  0  0
 1  0      0 20137812 207512 7900036    0    0     0    76 1224 1769  1  1 98  0  0
 0  0      0 20141712 207592 7894320    0    0     0   116 1203 1771  1  1 98  0  0
 0  0      0 20127644 207672 7894048    0    0     0    94 1189 1731  1  1 98  0  0
 0  0      0 20132116 207704 7897144    0    0     0    85 1208 1777  1  1 98  0  0
 0  0      0 20132876 207760 7894080    0    0     0    81 1165 1665  1  1 98  0  0
 0  0      0 20094616 207816 7905640    0    0     0    58 1260 2155  1  1 98  0  0
 0  0      0 20131760 207864 7893680    0    0     0   143 1173 1690  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 20126720 207936 7893936    0    0     0   115 1156 1678  1  1 98  0  0
 0  0      0 20137876 208000 7894204    0    0     0    88 1197 1718  1  1 98  0  0
 0  0      0 20131096 208056 7894480    0    0     0    76 1145 1728  1  1 98  0  0
 0  0      0 20142028 208128 7894024    0    0     0    66 1184 1718  1  1 98  0  0
